ParcelMaster.parcelnumber,Parcels.current_taxable
06-167-0012-000,0
06-167-0013-000,0
06-167-0014-000,0
06-167-0017-000,0
06-167-0018-000,36983
06-167-0019-000,0
06-167-0020-000,0
06-167-0020-100,27807
06-167-0021-000,1500
06-167-0022-000,858
06-167-0023-000,37587
06-167-0023-100,33553
06-167-0024-000,32960
06-167-0025-000,39602
06-167-0026-000,41433
06-167-0027-000,21512
06-167-0028-000,23287
06-167-0029-000,20923
06-167-0030-000,0
06-167-0030-100,14067
06-167-0031-000,19267
06-167-0032-000,44520
06-167-0033-000,0
06-167-0034-000,0
06-167-0034-100,50767
06-167-0038-000,136261
06-167-0039-000,0
06-167-0040-000,39225
06-167-0041-000,37170
06-167-0042-000,59150
06-167-0043-000,164224
06-167-0045-000,215346
06-167-0045-100,291663
06-167-0045-200,86555
06-167-0045-300,0
06-167-0048-000,0
06-167-0048-100,1173500
06-167-0049-000,83849
06-167-0050-000,83889
06-167-0050-100,81078
06-167-0051-000,95896
06-167-0052-000,0
06-167-0053-000,0
06-167-0053-100,0
06-167-0053-200,354067
06-167-0054-000,0
06-167-0055-000,336133
06-167-0056-000,136549
06-167-0057-000,1600
06-167-0058-000,0
06-167-0060-000,919249
06-167-0072-000,559122
06-167-0073-000,1344789
06-167-0073-100,29545
06-167-0073-200,1693500
06-170-0001-000,95135
06-170-0002-000,87216
06-170-0003-000,79009
